name,type,path
Bird,Class,Bird.md
Bird.speak,Method,Bird.md#method-i-speak
Bird.fly,Method,Bird.md#method-i-fly
Duck,Class,Duck.md
Duck.speak,Method,Duck.md#method-i-speak
Duck.rubber_ducks,Method,Duck.md#method-c-rubber_ducks
Duck.new,Method,Duck.md#method-c-new
Duck.useful?,Method,Duck.md#method-i-useful-3F
Duck.MAX_VELOCITY,Constant,Duck.md#MAX_VELOCITY
Duck.domestic,Attribute,Duck.md#attribute-i-domestic
Duck.rubber,Attribute,Duck.md#attribute-i-rubber
Object,Class,Object.md
Object.DEFAULT_DUCK_VELOCITY,Constant,Object.md#DEFAULT_DUCK_VELOCITY
Waterfowl,Module,Waterfowl.md
Waterfowl.swim,Method,Waterfowl.md#method-i-swim
